,Fecha,Costo_Directo,Costo_Indirecto,Peso_Promedio,Incremento,Incremento semanal(promedio),Sobrevivencia,Biomasa,Biomasa_Hectarea,Balanceado,Balanceado hectárea,Balanceado_Costo,Conversión_alimenticia,Comentario,FCA
0,2023-04-29,107.56,142.6,3.0,,,97.0,4939.9,705.7,132.0,18.86,90.17,,nicovita kr1 ,
1,2023-05-01,135.39,352.73999999999995,3.0,0.0,,97.0,4939.9,705.7,165.0,23.57,113.11,,nicovita kr1 ,
2,2023-05-02,987.96,2717.9199999999996,3.0,0.0,,97.0,4939.9,705.7,165.0,23.57,113.11,,nicovita kr1 ,
3,2023-05-03,135.39,301.0599999999999,3.0,0.0,,97.0,4939.9,705.7,165.0,23.57,113.11,,nicovita kr1 ,
4,2023-05-04,137.56,192.21999999999997,3.0,0.0,,97.0,4939.9,705.7,220.0,31.42,131.11,,"nicovita  finalis 2.0 , nicovita kr1 ",
5,2023-05-06,275.12,685.1400000000001,3.0,0.0,,97.0,4939.9,705.7,440.0,62.84,262.22,,"nicovita  finalis 2.0 , nicovita kr1 ",
6,2023-05-07,137.56,135.03999999999996,3.0,0.0,1.56,97.0,4939.9,705.7,220.0,31.42,131.11,0.31,"nicovita  finalis 2.0 , nicovita kr1 ",73.33333333333333
7,2023-05-08,173.99,352.15999999999997,3.35,0.3500000000000001,,96.71428571428571,5489.7871428571425,784.2557142857144,330.0,47.14,167.11,,nicovita  finalis 2.0 ,98.50746268656717
8,2023-05-09,173.99,1050.8999999999996,3.7,0.3500000000000001,,96.42857142857143,6039.674285714285,862.8114285714286,330.0,47.14,167.11,,nicovita  finalis 2.0 ,89.18918918918918
9,2023-05-10,173.99,517.6400000000001,4.05,0.34999999999999964,,96.14285714285714,6589.561428571429,941.3671428571429,330.0,47.14,167.11,,nicovita  finalis 2.0 ,81.48148148148148
10,2023-05-11,231.98,297.95000000000005,4.4,0.35000000000000053,,95.85714285714286,7139.448571428571,1019.9228571428571,440.0,62.86,222.81,,nicovita  finalis 2.0 ,99.99999999999999
