,Fecha,Peso_Promedio,Sobrevivencia,Balanceado,Biomasa,Biomasa_Hectarea,FCA,Kg/Has,Incremento,IPS
0,2023-03-05,3.9,97.0,75,6361.068039086256,1590.27,19.23076923076923,18.75,,
1,2023-03-06,3.9,97.0,125,6361.068039086256,1590.27,32.05128205128205,31.25,0.0,
2,2023-03-07,3.9,97.0,100,6361.068039086256,1590.27,25.641025641025642,25.0,0.0,
3,2023-03-08,3.9,97.0,100,6361.068039086256,1590.27,25.641025641025642,25.0,0.0,
4,2023-03-09,3.9,97.0,125,6361.068039086256,1590.27,32.05128205128205,31.25,0.0,
5,2023-03-10,3.9,97.0,135,6361.068039086256,1590.27,34.61538461538461,33.75,0.0,
6,2023-03-11,3.9,97.0,125,6361.068039086256,1590.27,32.05128205128205,31.25,0.0,3.9
7,2023-03-12,3.9,97.0,100,6361.068039086256,1590.27,25.641025641025642,25.0,0.0,3.9
8,2023-03-13,4.314285714285714,96.78571428571429,125,7012.284211208263,1753.0742857142857,28.973509933774835,31.25,0.41428571428571415,3.9591836734693873
9,2023-03-14,4.728571428571429,96.57142857142857,125,7663.500383330269,1915.8785714285714,26.435045317220542,31.25,0.4142857142857146,4.077551020408164
10,2023-03-15,5.142857142857142,96.35714285714286,125,8314.716555452274,2078.6828571428573,24.305555555555557,31.25,0.4142857142857137,4.255102040816326
11,2023-03-16,5.557142857142857,96.14285714285714,150,8965.932727574282,2241.4871428571428,26.99228791773779,37.5,0.4142857142857146,4.4918367346938775
12,2023-03-17,5.9714285714285715,95.92857142857143,175,9617.148899696287,2404.2914285714287,29.306220095693778,43.75,0.4142857142857146,4.7877551020408164
13,2023-03-18,6.385714285714286,95.71428571428571,175,10268.365071818294,2567.095714285714,27.404921700223714,43.75,0.4142857142857146,5.142857142857143
14,2023-03-19,6.8,95.5,200,10919.5812439403,2729.9,29.411764705882355,50.0,0.4142857142857137,5.557142857142857
15,2023-03-20,7.283333333333333,95.25,200,11654.951872831054,2913.741666666667,27.45995423340961,50.0,0.4833333333333334,5.981292517006802
16,2023-03-22,7.766666666666667,95.0,200,12390.322501721806,3097.5833333333335,25.751072961373392,50.0,0.4833333333333334,6.41530612244898
17,2023-03-23,8.25,94.75,200,13125.693130612559,3281.425,24.242424242424242,50.0,0.4833333333333334,6.8591836734693885
18,2023-03-24,8.733333333333333,94.5,150,13861.063759503313,3465.2666666666664,17.17557251908397,37.5,0.4833333333333325,7.312925170068027
19,2023-03-25,9.216666666666665,94.25,200,14596.434388394067,3649.108333333333,21.6998191681736,50.0,0.4833333333333325,7.776530612244898
20,2023-03-26,9.7,94.0,200,15331.80501728482,3832.95,20.61855670103093,50.0,0.4833333333333343,8.249999999999998
21,2023-03-27,10.257142857142856,93.78571428571429,200,16163.420800348777,4040.8542857142857,19.498607242339833,50.0,0.5571428571428569,8.743877551020407
22,2023-03-28,10.814285714285713,93.57142857142857,225,16995.036583412733,4248.7585714285715,20.805812417437256,56.25,0.5571428571428569,9.248299319727892
23,2023-03-29,11.37142857142857,93.35714285714286,225,17826.652366476694,4456.662857142857,19.786432160804022,56.25,0.5571428571428569,9.763265306122449
24,2023-03-30,11.928571428571427,93.14285714285714,150,18658.26814954065,4664.567142857142,12.574850299401199,37.5,0.5571428571428569,10.288775510204081
25,2023-03-31,12.485714285714284,92.92857142857143,150,19489.883932604607,4872.471428571428,12.013729977116707,37.5,0.5571428571428569,10.824829931972788
26,2023-04-01,13.042857142857143,92.71428571428571,100,20321.499715668564,5080.375714285714,7.667031763417306,25.0,0.5571428571428587,11.37142857142857
27,2023-04-02,13.6,92.5,200,21153.11549873252,5288.28,14.705882352941178,50.0,0.5571428571428569,11.928571428571427
28,2023-04-03,13.6,92.5,200,21153.11549873252,5288.28,14.705882352941178,50.0,0.0,12.40612244897959
29,2023-04-04,13.6,92.5,200,21153.11549873252,5288.28,14.705882352941178,50.0,0.0,12.80408163265306
30,2023-04-05,14.28,92.2,200,22125.015400025633,5531.254,14.005602240896359,50.0,0.6799999999999997,13.219591836734693
31,2023-04-06,14.959999999999999,91.9,200,23096.91530131875,5774.228,13.368983957219251,50.0,0.6799999999999997,13.652653061224488
32,2023-04-07,15.64,91.6,200,24068.815202611862,6017.201999999999,12.78772378516624,50.0,0.6800000000000015,14.103265306122449
33,2023-04-08,16.32,91.3,200,25040.71510390498,6260.1759999999995,12.254901960784313,50.0,0.6799999999999997,14.571428571428571
34,2023-04-09,17.0,91.0,200,26012.61500519809,6503.15,11.764705882352942,50.0,0.6799999999999997,15.057142857142859
35,2023-04-10,17.5,90.78571428571429,225,26703.82656376728,6675.952857142857,12.857142857142858,56.25,0.5,15.614285714285716
36,2023-04-11,18.0,90.57142857142857,225,27395.03812233647,6848.755714285714,12.5,56.25,0.5,16.24285714285714
37,2023-04-12,18.5,90.35714285714286,225,28086.24968090566,7021.558571428572,12.162162162162161,56.25,0.5,16.845714285714283
38,2023-04-13,19.0,90.14285714285714,225,28777.46123947485,7194.361428571428,11.842105263157896,56.25,0.5,17.422857142857143
